distancia_cm,voltaje_v
2.00,1.8043
2.00,1.8269
2.00,1.8108
2.00,1.8140
2.00,1.8124
2.00,1.8019
2.00,1.8027
2.00,1.8108
2.00,1.8043
2.00,1.8124
2.00,1.8140
2.00,1.7955
2.00,1.8027
2.00,1.8140
2.00,1.8116
2.00,1.8172
2.00,1.8124
2.00,1.8140
2.00,1.7979
2.00,1.8116
2.00,1.8043
2.00,1.8140
2.00,1.8051
2.00,1.8092
2.00,1.8092
2.00,1.8019
2.00,1.8204
2.00,1.8204
2.00,1.8124
2.00,1.8100
2.00,1.8108
2.00,1.8221
2.00,1.8092
2.00,1.8140
2.00,1.8108
2.00,1.8092
2.00,1.8027
2.00,1.8172
2.00,1.8027
2.00,1.8156
2.00,1.8156
2.00,1.8100
2.00,1.8172
2.00,1.8043
2.00,1.8148
2.00,1.8116
2.00,1.8027
2.00,1.8116
2.00,1.8100
2.00,1.8204
2.00,1.7979
2.00,1.8132
2.00,1.8172
2.00,1.8003
2.00,1.8027
2.00,1.8011
2.00,1.8156
2.00,1.8140
2.00,1.8124
2.00,1.8051
2.00,1.8027
2.00,1.8100
2.00,1.8027
2.00,1.8156
2.00,1.8204
2.00,1.8011
2.00,1.8140
2.00,1.8172
2.00,1.8156
2.00,1.8140
2.00,1.7979
2.00,1.8108
2.00,1.8027
2.00,1.8204
2.00,1.8140
2.00,1.8172
2.00,1.8116
2.00,1.8140
2.00,1.8075
2.00,1.8027
2.00,1.8196
2.00,1.8172
2.00,1.8156
2.00,1.8204
2.00,1.8027
2.00,1.8043
2.00,1.8108
2.00,1.8027
2.00,1.8140
2.00,1.8140
2.00,1.8245
2.00,1.8092
2.00,1.8221
2.00,1.8221
2.00,1.8043
2.00,1.8043
2.00,1.8051
2.00,1.8027
2.00,1.8108
2.00,1.8140
3.00,1.4054
3.00,1.4078
3.00,1.4095
3.00,1.4070
3.00,1.4143
3.00,1.4030
3.00,1.4143
3.00,1.4095
3.00,1.4111
3.00,1.4086
3.00,1.4078
3.00,1.3917
3.00,1.4095
3.00,1.4054
3.00,1.4095
3.00,1.4119
3.00,1.4014
3.00,1.4078
3.00,1.4030
3.00,1.4127
3.00,1.4095
3.00,1.4078
3.00,1.4127
3.00,1.4078
3.00,1.4030
3.00,1.4078
3.00,1.4014
3.00,1.4038
3.00,1.3982
3.00,1.4038
3.00,1.4095
3.00,1.4062
3.00,1.4111
3.00,1.4143
3.00,1.3901
3.00,1.4175
3.00,1.4078
3.00,1.4111
3.00,1.4119
3.00,1.4046
3.00,1.4086
3.00,1.4046
3.00,1.4143
3.00,1.4143
3.00,1.4086
3.00,1.4095
3.00,1.4111
3.00,1.4159
3.00,1.4103
3.00,1.4046
3.00,1.4022
3.00,1.4046
3.00,1.4183
3.00,1.4022
3.00,1.4022
3.00,1.4062
3.00,1.4095
3.00,1.4062
3.00,1.4070
3.00,1.4030
3.00,1.4022
3.00,1.4070
3.00,1.4086
3.00,1.4095
3.00,1.4062
3.00,1.4103
3.00,1.4127
3.00,1.4111
3.00,1.4030
3.00,1.4159
3.00,1.3998
3.00,1.4078
3.00,1.4127
3.00,1.3998
3.00,1.4119
3.00,1.4078
3.00,1.4078
3.00,1.4223
3.00,1.4062
3.00,1.3990
3.00,1.4062
3.00,1.4207
3.00,1.4127
3.00,1.4078
3.00,1.4046
3.00,1.4135
3.00,1.3998
3.00,1.4086
3.00,1.4095
3.00,1.4038
3.00,1.4078
3.00,1.4143
3.00,1.4014
3.00,1.4095
3.00,1.4127
3.00,1.4119
3.00,1.4046
3.00,1.4030
3.00,1.4078
3.00,1.4103
4.00,1.1435
4.00,1.1193
4.00,1.1347
4.00,1.1145
4.00,1.1274
4.00,1.1145
4.00,1.1322
4.00,1.1210
4.00,1.1411
4.00,1.1121
4.00,1.1435
4.00,1.1290
4.00,1.1250
4.00,1.1153
4.00,1.1226
4.00,1.1322
4.00,1.1169
4.00,1.1008
4.00,1.1338
4.00,1.1322
4.00,1.1153
4.00,1.1097
4.00,1.1129
4.00,1.1242
4.00,1.1322
4.00,1.1306
4.00,1.1193
4.00,1.1073
4.00,1.1113
4.00,1.1113
4.00,1.1258
4.00,1.1177
4.00,1.1113
4.00,1.1411
4.00,1.1322
4.00,1.1177
4.00,1.1113
4.00,1.1314
4.00,1.1113
4.00,1.1387
4.00,1.1347
4.00,1.1210
4.00,1.1306
4.00,1.1161
4.00,1.1419
4.00,1.1306
4.00,1.1064
4.00,1.1290
4.00,1.1161
4.00,1.1306
4.00,1.1387
4.00,1.1387
4.00,1.1040
4.00,1.1274
4.00,1.1282
4.00,1.1395
4.00,1.1306
4.00,1.1290
4.00,1.1282
4.00,1.1218
4.00,1.1403
4.00,1.1137
4.00,1.1137
4.00,1.1113
4.00,1.1306
4.00,1.1081
4.00,1.1338
4.00,1.1129
4.00,1.1322
4.00,1.1145
4.00,1.1185
4.00,1.1338
4.00,1.1258
4.00,1.1274
4.00,1.1403
4.00,1.1306
4.00,1.1322
4.00,1.1258
4.00,1.1306
4.00,1.1306
4.00,1.1322
4.00,1.1347
4.00,1.1387
4.00,1.1258
4.00,1.1330
4.00,1.1306
4.00,1.1338
4.00,1.1097
4.00,1.1395
4.00,1.1097
4.00,1.1411
4.00,1.1306
4.00,1.1129
4.00,1.1129
4.00,1.1306
4.00,1.1129
4.00,1.1210
4.00,1.1290
4.00,1.1218
4.00,1.1411
5.00,0.9469
5.00,0.9396
5.00,0.9517
5.00,0.9380
5.00,0.9437
5.00,0.9421
5.00,0.9469
5.00,0.9493
5.00,0.9404
5.00,0.9525
5.00,0.9477
5.00,0.9404
5.00,0.9453
5.00,0.9469
5.00,0.9404
5.00,0.9388
5.00,0.9437
5.00,0.9404
5.00,0.9437
5.00,0.9445
5.00,0.9437
5.00,0.9372
5.00,0.9437
5.00,0.9421
5.00,0.9461
5.00,0.9469
5.00,0.9477
5.00,0.9445
5.00,0.9429
5.00,0.9388
5.00,0.9396
5.00,0.9437
5.00,0.9453
5.00,0.9477
5.00,0.9485
5.00,0.9541
5.00,0.9437
5.00,0.9445
5.00,0.9501
5.00,0.9421
5.00,0.9501
5.00,0.9453
5.00,0.9396
5.00,0.9437
5.00,0.9388
5.00,0.9437
5.00,0.9372
5.00,0.9364
5.00,0.9445
5.00,0.9388
5.00,0.9469
5.00,0.9509
5.00,0.9372
5.00,0.9485
5.00,0.9437
5.00,0.9445
5.00,0.9469
5.00,0.9485
5.00,0.9501
5.00,0.9477
5.00,0.9372
5.00,0.9493
5.00,0.9356
5.00,0.9485
5.00,0.9388
5.00,0.9372
5.00,0.9477
5.00,0.9445
5.00,0.9437
5.00,0.9453
5.00,0.9453
5.00,0.9324
5.00,0.9356
5.00,0.9461
5.00,0.9469
5.00,0.9461
5.00,0.9348
5.00,0.9404
5.00,0.9453
5.00,0.9421
5.00,0.9421
5.00,0.9453
5.00,0.9356
5.00,0.9364
5.00,0.9372
5.00,0.9437
5.00,0.9437
5.00,0.9421
5.00,0.9469
5.00,0.9380
5.00,0.9437
5.00,0.9477
5.00,0.9437
5.00,0.9429
5.00,0.9493
5.00,0.9429
5.00,0.9421
5.00,0.9469
5.00,0.9453
5.00,0.9372
4.50,1.0251
4.50,1.0122
4.50,1.0146
4.50,1.0154
4.50,1.0146
4.50,1.0218
4.50,1.0130
4.50,1.0186
4.50,1.0218
4.50,1.0178
4.50,1.0130
4.50,1.0186
4.50,1.0138
4.50,1.0178
4.50,1.0154
4.50,1.0234
4.50,1.0146
4.50,1.0162
4.50,1.0154
4.50,1.0226
4.50,1.0178
4.50,1.0130
4.50,1.0186
4.50,1.0291
4.50,1.0122
4.50,1.0178
4.50,1.0146
4.50,1.0122
4.50,1.0275
4.50,1.0210
4.50,1.0234
4.50,1.0291
4.50,1.0154
4.50,1.0178
4.50,1.0218
4.50,1.0267
4.50,1.0226
4.50,1.0251
4.50,1.0291
4.50,1.0130
4.50,1.0259
4.50,1.0218
4.50,1.0242
4.50,1.0178
4.50,1.0162
4.50,1.0162
4.50,1.0234
4.50,1.0218
4.50,1.0162
4.50,1.0194
4.50,1.0162
4.50,1.0226
4.50,1.0307
4.50,1.0259
4.50,1.0242
4.50,1.0242
4.50,1.0178
4.50,1.0259
4.50,1.0226
4.50,1.0170
4.50,1.0242
4.50,1.0234
4.50,1.0178
4.50,1.0194
4.50,1.0242
4.50,1.0162
4.50,1.0210
4.50,1.0162
4.50,1.0275
4.50,1.0178
4.50,1.0130
4.50,1.0130
4.50,1.0162
4.50,1.0259
4.50,1.0251
4.50,1.0146
4.50,1.0226
4.50,1.0122
4.50,1.0146
4.50,1.0130
4.50,1.0259
4.50,1.0178
4.50,1.0138
4.50,1.0081
