distancia_cm,voltaje_v
2.00,2.1315
2.00,2.1557
2.00,2.1347
2.00,2.1468
2.00,2.1621
2.00,2.1299
2.00,2.1347
2.00,2.1581
2.00,2.1629
2.00,2.1525
2.00,2.1476
2.00,2.1533
2.00,2.1508
2.00,2.1573
2.00,2.1452
2.00,2.1533
2.00,2.1557
2.00,2.1460
2.00,2.1460
2.00,2.1492
2.00,2.1492
2.00,2.1492
2.00,2.1525
2.00,2.1516
2.00,2.1500
2.00,2.1484
2.00,2.1605
2.00,2.1573
2.00,2.1500
2.00,2.1267
2.00,2.1379
2.00,2.1508
2.00,2.1508
2.00,2.1468
2.00,2.1500
2.00,2.1323
2.00,2.1508
2.00,2.1428
2.00,2.1363
2.00,2.1525
2.00,2.1444
2.00,2.1436
2.00,2.1476
2.00,2.1500
2.00,2.1533
2.00,2.1533
2.00,2.1460
2.00,2.1468
2.00,2.1339
2.00,2.1331
2.00,2.1573
2.00,2.1492
2.00,2.1331
2.00,2.1516
2.00,2.1476
2.00,2.1500
2.00,2.1355
2.00,2.1637
2.00,2.1492
2.00,2.1605
2.00,2.1508
2.00,2.1557
2.00,2.1500
2.00,2.1500
2.00,2.1525
2.00,2.1508
2.00,2.1508
2.00,2.1428
2.00,2.1355
2.00,2.1436
2.00,2.1492
2.00,2.1557
2.00,2.1573
2.00,2.1299
2.00,2.1573
2.00,2.1468
2.00,2.1573
2.00,2.1508
2.00,2.1500
2.00,2.1492
2.00,2.1508
2.00,2.1557
2.00,2.1396
2.00,2.1637
2.00,2.1573
2.00,2.1492
2.00,2.1460
2.00,2.1573
2.00,2.1484
2.00,2.1460
2.00,2.1428
2.00,2.1468
2.00,2.1557
2.00,2.1525
2.00,2.1476
2.00,2.1476
2.00,2.1629
2.00,2.1500
2.00,2.1508
2.00,2.1533
2.50,1.8148
2.50,1.8172
2.50,1.8221
2.50,1.8204
2.50,1.8180
2.50,1.8253
2.50,1.8172
2.50,1.8084
2.50,1.8204
2.50,1.8212
2.50,1.8237
2.50,1.8148
2.50,1.8277
2.50,1.8156
2.50,1.8221
2.50,1.8237
2.50,1.8204
2.50,1.8172
2.50,1.8188
2.50,1.8204
2.50,1.8212
2.50,1.8245
2.50,1.8221
2.50,1.8221
2.50,1.8156
2.50,1.8277
2.50,1.8204
2.50,1.8196
2.50,1.8156
2.50,1.8132
2.50,1.8253
2.50,1.8237
2.50,1.8366
2.50,1.8293
2.50,1.8212
2.50,1.8221
2.50,1.8156
2.50,1.8269
2.50,1.8221
2.50,1.8172
2.50,1.8140
2.50,1.8188
2.50,1.8261
2.50,1.8269
2.50,1.8172
2.50,1.8204
2.50,1.8212
2.50,1.8285
2.50,1.8301
2.50,1.8132
2.50,1.8221
2.50,1.8172
2.50,1.8261
2.50,1.8204
2.50,1.8237
2.50,1.8212
2.50,1.8140
2.50,1.8212
2.50,1.8156
2.50,1.8221
2.50,1.8237
2.50,1.8221
2.50,1.8140
2.50,1.8172
2.50,1.8204
2.50,1.8124
2.50,1.8204
2.50,1.8092
2.50,1.8212
2.50,1.8285
2.50,1.8285
2.50,1.8237
2.50,1.8221
2.50,1.8221
2.50,1.8204
2.50,1.8221
